ID,Target_Form_ID,Source_Form_ID,Comment,Source,Source_relation,Source_word,Source_meaning,Source_certain,Source_languoid,Source_languoid_glottocode
1,Manange-1-28-1,,,,immediate,oɖhaar,cave,yes,Nepali,nepa1252
2,Manange-1-32-1,,,,immediate,samundra,sea,yes,Nepali,nepa1252
3,Manange-1-39-1,,,,immediate,chaharo,waterfall,yes,Nepali,nepa1252
4,Manange-1-78-1,,,,immediate,mewsam,weather/monsoon,yes,Nepali,nepa1252
5,Manange-1-87-1,,,,immediate,match,match,yes,English,stan1293
6,Manange-2-611-1,,,,immediate,rgad po (Written Tibetan),old animates/humans,yes,Tibetan,
7,Manange-2-461-1,,,,immediate,rgad po (Written Tibetan),old animates/humans,yes,Tibetan,
8,Manange-2-6412-1,,,,immediate,rgad po (Written Tibetan),old animates/humans,yes,Tibetan,
9,Manange-2-71-1,,,,immediate,rgad po (Written Tibetan),old animates/humans,yes,Tibetan,
10,Manange-2-61-1,,,,immediate,rgad po (Written Tibetan),old animates/humans,yes,Tibetan,
11,Manange-3-16-1,,,,immediate,gotha,pasture,yes,Nepali,nepa1252
12,Manange-3-35-1,,,,immediate,"ghuri, sungkur",pig,yes,Nepali,nepa1252
13,Manange-3-52-1,,,,immediate,bhaale,rooster,yes,Nepali,nepa1252
14,Manange-3-594-1,,,,immediate,parewa,pigeon/dove,yes,Nepali,nepa1252
15,Manange-3-665-1,,,,immediate,baam maacho,eel,yes,Nepali,nepa1252
16,Manange-3-71-1,,,,immediate,siyal,wolf,yes,Nepali,nepa1252
17,Manange-3-72-1,,,,immediate,singhi,lion,yes,Nepali,nepa1252
18,Manange-3-812-1,,,,immediate,likho,nit,yes,Nepali,nepa1252
19,Manange-3-816-1,,,,immediate,saanglaa,cockroach,yes,Nepali,nepa1252
20,Manange-3-832-1,,,,immediate,lamkhutte,mosquito,yes,Nepali,nepa1252
21,Manange-3-97-1,,,,immediate,gohi,alligator,yes,Nepali,nepa1252
22,Manange-4-162-1,,,,immediate,karan,rib,yes,Nepali,nepa1252
23,Manange-4-203-1,,,,immediate,shakti,"brain, energy",yes,Nepali,nepa1252
24,Manange-4-215-1,,,,immediate,cimlanu,to blink,yes,Nepali,nepa1252
25,Manange-4-281-1,,,,immediate,ghuccuk,nape,yes,Nepali,nepa1252
26,Manange-4-464-1,,,,immediate,caak,buttocks,yes,Nepali,nepa1252
27,Manange-4-52-1,,,,immediate,haii,yawn,yes,Nepali,nepa1252
28,Manange-4-56-1,,,,immediate,thuuk phaalnu,to spit,yes,Nepali,nepa1252
29,Manange-4-751-1,,,,immediate,ɖubnu,"to drown, sink (intrans)",yes,Nepali,nepa1252
30,Manange-4-83-1,,,,immediate,saasi,healthy,yes,Nepali,nepa1252
31,Manange-4-93-1,,,,immediate,khulke,bald,yes,Nepali,nepa1252
32,Manange-5-31-1,,,,immediate,thaale,dish,yes,Nepali,nepa1252
33,Manange-5-32-1,,,,immediate,thaali,plate,yes,Nepali,nepa1252
34,Manange-5-35-1,,,,immediate,kaaso,cup,yes,Nepali,nepa1252
35,Manange-5-36-1,,,,immediate,plate,plate/dish/saucer,yes,English,stan1293
36,Manange-5-391-1,,,,immediate,dzimti,tongs,yes,Nepali,nepa1252
37,Manange-5-66-1,,,,immediate,simi,(green) bean,yes,Nepali,nepa1252
38,Manange-5-7-1,,,,immediate,aalu,potato,yes,Nepali,nepa1252
39,Manange-5-76-1,,,,immediate,anggur,grape,yes,Nepali,nepa1252
40,Manange-5-85-1,,,,immediate,candy,candy,yes,English,stan1293
41,Manange-23-565-1,,,,immediate,candy,candy,yes,English,stan1293
42,Manange-6-24-1,,,,immediate,ril,reel of cotton or thread,yes,Nepali,nepa1252
43,Manange-6-25-1,,,,immediate,resham,silk,yes,Nepali,nepa1252
44,Manange-6-43-1,,,,immediate,kot,coat,yes,Nepali,nepa1252
45,Manange-6-44-1,,,,immediate,"kamij, kurtaa",shirt,yes,Nepali,nepa1252
46,Manange-6-46-1,,,,immediate,jhyama,skirt,yes,Nepali,nepa1252
47,Manange-6-57-1,,,,immediate,peti,belt,yes,Nepali,nepa1252
48,Manange-6-71-1,,,,immediate,"alankar, karnyaphul, kunDal",ornament,yes,Nepali,nepa1252
49,Manange-6-81-1,,,,immediate,rumaal,"handkerchief, rag",yes,Nepali,nepa1252
50,Manange-6-82-1,,,,immediate,tauli,towel,yes,Nepali,nepa1252
51,Manange-6-91-1,,,,immediate,kaaŋiyo,comb,yes,Nepali,nepa1252
52,Manange-6-94-1,,,,immediate,molam,ointment ?,yes,Nepali,nepa1252
53,Manange-6-95-1,,,,immediate,sop,soap ?,yes,Nepali,nepa1252
54,Manange-7-21-1,,,,immediate,koʈaa,room,yes,Nepali,nepa1252
55,Manange-7-232-1,,,,immediate,taalcaa,lock,yes,Nepali,nepa1252
56,Manange-7-23-1,,,,immediate,taalcaa,lock,yes,Nepali,nepa1252
57,Manange-7-43-1,,,,immediate,kursi,chair,yes,Nepali,nepa1252
58,Manange-7-45-1,,,,immediate,batti,lamp,yes,Nepali,nepa1252
59,Manange-8-11-1,,,,immediate,kisam,farmer,yes,Nepali,nepa1252
60,Manange-8-34-1,,,,immediate,kelaaunu,winnow,yes,Nepali,nepa1252
61,Manange-8-47-1,,,,immediate,makai,corn,yes,Nepali,nepa1252
62,Manange-8-53-1,,,,immediate,rop,plant,yes,Nepali,nepa1252
63,Manange-8-68-1,,,,immediate,surti,cigarette,yes,Nepali,nepa1252
64,Manange-8-691-1,,,,immediate,pipe,pipe (for smoking),yes,English,stan1293
65,Manange-8-84-1,,,,immediate,kera,banana,yes,Nepali,nepa1252
66,Manange-8-931-1,,,,immediate,kaĩRo,"gourd, squash, pumpkin",yes,Nepali,nepa1252
67,Manange-8-98-1,,,,immediate,syau,mushroom,yes,Nepali,nepa1252
68,Manange-9-161-1,,,,immediate,phukaaunu,untie,yes,Nepali,nepa1252
69,Manange-9-24-1,,,,immediate,katarni,"scissors, shears",yes,Nepali,nepa1252
70,Manange-9-343-1,,,,immediate,"maaRnu, malnu","rub, squeeze",yes,Nepali,nepa1252
71,Manange-9-74-1,,,,immediate,sisaa,glass,yes,Nepali,nepa1252
72,Manange-9-76-1,,,,immediate,cangeraa,large bamboo basket,yes,Nepali,nepa1252
73,Manange-9-79-1,,,,immediate,niphanne,palm frond fan,yes,Nepali,nepa1252
74,Manange-10-451-1,,,,immediate,khocyaaunu,to limp,yes,Nepali,nepa1252
75,Manange-11-25-1,,,,immediate,pʌtʃaunu,rescue,yes,Nepali,nepa1252
76,Manange-11-65-1,,,,immediate,tirnu,to pay,yes,Nepali,nepa1252
77,Manange-12-48-1,,,,immediate,lho,south,yes,Tibetan,
78,Manange-12-73-1,,,,immediate,sojho,straight,yes,Nepali,nepa1252
79,Manange-13-23-1,,,,immediate,les,part,yes,Nepali,nepa1252
80,Manange-14-65-1,,,,immediate,sa hlaakpa,Wednesday,yes,Tibetan,
81,Manange-16-29-1,,,,immediate,mwãi,kiss,yes,Nepali,nepa1252
82,Manange-17-15-1,,,,immediate,patyaaunu,to believe,yes,Nepali,nepa1252
83,Manange-17-28-1,,,,immediate,skul,school,yes,Nepali,nepa1252
84,Manange-17-53-1,,,,immediate,kina,if,yes,Nepali,nepa1252
85,Manange-17-56-1,,,,immediate,jĩ,evidential,yes,Tibetan,
86,Manange-18-38-1,,,,immediate,roknu,forbid,yes,Nepali,nepa1252
87,Manange-18-37-1,,,,immediate,roknu,forbid,yes,Nepali,nepa1252
88,Manange-20-54-1,,,,immediate,jaal,net,yes,Nepali,nepa1252
89,Manange-22-11-1,,,,immediate,dharma,"religion, duty",yes,Nepali,nepa1252
90,Manange-22-24-1,,,,immediate,sarap,curse,yes,Nepali,nepa1252
91,Manange-22-42-1,,,,immediate,jaadu,"magic, pilgrim, sightseer",yes,Nepali,nepa1252
92,Manange-23-12-1,,,,immediate,phone/phon,telephone,yes,Nepali,nepa1252
93,Manange-23-14-1,,,,immediate,motor jeep,motor + jeep,yes,Nepali,nepa1252
94,Manange-23-15-1,,,,immediate,bas,bus,yes,Nepali,nepa1252
95,Manange-23-17-1,,,,immediate,bijuli,"electricity, power",yes,Nepali,nepa1252
96,Manange-23-2-1,,,,immediate,menkhang,hospital,yes,Tibetan,
97,Manange-23-3-1,,,,immediate,government,governement,yes,English,stan1293
98,Manange-23-32-1,,,,immediate,minisTar,Governmental minster,yes,Nepali,nepa1252
99,Manange-23-33-1,,,,immediate,pulis,police,yes,Nepali,nepa1252
100,Manange-23-56-1,,,,immediate,botal,bottle,yes,Nepali,nepa1252
