ID,Name,Concepticon_ID,Concepticon_Gloss,Core_list,Semantic_category,Semantic_field,Borrowed_score,Age_score,Simplicity_score
1-1,the world,965,WORLD,yes,Noun,The physical world,0.401886792453,0.836981132075,0.858490566038
1-21,the land,626,LAND,yes,Noun,The physical world,0.268285123967,0.899917355372,0.939256198347
1-212,the soil,1228,EARTH (SOIL),yes,Noun,The physical world,0.0999346120314,0.880993897123,0.95422842197
1-213,the dust,2,DUST,yes,Noun,The physical world,0.233766233766,0.894480519481,0.931818181818
1-214,the mud,640,MUD,yes,Noun,The physical world,0.153973509934,0.841059602649,0.918046357616
1-215,the sand,671,SAND,yes,Noun,The physical world,0.0994475138122,0.876243093923,0.92817679558
1-22,the mountain or hill,2118,MOUNTAIN OR HILL,yes,Noun,The physical world,0.173913043478,0.892753623188,0.971014492754
1-222,the cliff or precipice,618,PRECIPICE,yes,Noun,The physical world,0.165760869565,0.86847826087,0.940217391304
1-23,the plain,652,PLAIN,yes,Noun,The physical world,0.260073260073,0.900732600733,0.788461538462
1-24,the valley,921,VALLEY,yes,Noun,The physical world,0.183908045977,0.836781609195,0.890804597701
1-25,the island,622,ISLAND,yes,Noun,The physical world,0.387978142077,0.849726775956,0.896174863388
1-26,the mainland,166,MAINLAND,yes,Noun,The physical world,0.423224568138,0.819961612284,0.748080614203
1-27,the shore,113,SHORE,yes,Noun,The physical world,0.153273809524,0.835119047619,0.758928571429
1-28,the cave,1155,CAVE,yes,Noun,The physical world,0.195054945055,0.805494505495,0.868131868132
1-31,the water,948,WATER,yes,Noun,The physical world,0.0911062906725,0.900650759219,0.986984815618
1-32,the sea,1474,SEA,yes,Noun,The physical world,0.461832061069,0.861577608142,0.916030534351
1-322,calm,258,CALM,yes,Adjective,The physical world,0.264705882353,0.865882352941,0.835294117647
1-323,rough(2),259,ROUGH (OF SEA),yes,Adjective,The physical world,0.161290322581,0.795161290323,0.713709677419
1-324,the foam,1768,FOAM,yes,Noun,The physical world,0.148936170213,0.840425531915,0.952127659574
